symbol,timestamp,side,x,g,mid,liquidity_top3
SOUN,2025-04-03 13:30:00.016252285+00:00,buy,500,0.015199999999999946,7.9,706
SOUN,2025-04-03 13:30:00.016252285+00:00,sell,92,0.0,7.9,706
SOUN,2025-04-03 13:30:00.016252285+00:00,sell,224,0.0058928571428570175,7.9,706
SOUN,2025-04-03 13:30:00.016252285+00:00,sell,392,0.008571428571428388,7.9,706
SOUN,2025-04-03 13:30:00.016252285+00:00,sell,500,0.006479999999999862,7.9,706
SOUN,2025-04-03 13:30:00.016252285+00:00,buy,80,0.0,7.895,1265
SOUN,2025-04-03 13:30:00.016252285+00:00,buy,284,0.007183098591549143,7.895,1265
SOUN,2025-04-03 13:30:00.016252285+00:00,buy,314,0.002866242038216584,7.895,1265
SOUN,2025-04-03 13:30:00.016252285+00:00,buy,393,0.00804071246819339,7.895,1265
SOUN,2025-04-03 13:30:00.016252285+00:00,buy,422,0.005497630331753559,7.895,1265
SOUN,2025-04-03 13:30:00.016252285+00:00,buy,424,0.0004245283018867918,7.895,1265
SOUN,2025-04-03 13:30:00.016252285+00:00,buy,500,0.015199999999999946,7.895,1265
SOUN,2025-04-03 13:30:00.016252285+00:00,sell,132,0.0,7.895,1265
SOUN,2025-04-03 13:30:00.016252285+00:00,sell,300,0.00559999999999988,7.895,1265
SOUN,2025-04-03 13:30:00.016252285+00:00,sell,500,0.00799999999999983,7.895,1265
SOUN,2025-04-03 13:30:00.017214240+00:00,buy,180,0.0,7.895,1365
SOUN,2025-04-03 13:30:00.017214240+00:00,buy,384,0.005312499999999887,7.895,1365
SOUN,2025-04-03 13:30:00.017214240+00:00,buy,414,0.0021739130434782787,7.895,1365
SOUN,2025-04-03 13:30:00.017214240+00:00,buy,493,0.006409736308316436,7.895,1365
SOUN,2025-04-03 13:30:00.017214240+00:00,buy,500,0.001120000000000001,7.895,1365
SOUN,2025-04-03 13:30:00.017214240+00:00,sell,132,0.0,7.895,1365
SOUN,2025-04-03 13:30:00.017214240+00:00,sell,300,0.00559999999999988,7.895,1365
SOUN,2025-04-03 13:30:00.017214240+00:00,sell,500,0.00799999999999983,7.895,1365
SOUN,2025-04-03 13:30:00.018846536+00:00,buy,180,0.0,7.895,1465
SOUN,2025-04-03 13:30:00.018846536+00:00,buy,384,0.005312499999999887,7.895,1465
